title,price,location,year,mileage,list_date,URL,source
2019 Kawasaki Vulcan 900 Custom,"$5,495",olympia,2019,836mi,7h ago,https://seattle.craigslist.org/oly/mcd/d/olympia-2019-kawasaki-vulcan-900-custom/7640786126.html,craigslist
1975 Harley Davidson Motorcycle,"$3,999",puyallup,1975,600mi,7h ago,https://seattle.craigslist.org/tac/mcd/d/puyallup-1975-harley-davidson-motorcycle/7640785994.html,craigslist
2023 Honda Rebel 1100T,"$11,299",lakewood,2023,-1,7h ago,https://seattle.craigslist.org/tac/mcd/d/lakewood-2023-honda-rebel-1100t/7640785880.html,craigslist
Museum Quality 1978 KTM 250 MC-5 For Sale,"$5,000",rathdrum,1978,1mi,7h ago,https://seattle.craigslist.org/see/mcy/d/rathdrum-museum-quality-1978-ktm-250-mc/7640781203.html,craigslist
1986 GSX-R 750 with Bandit 1200 engine GSXR,"$6,999",kenmore,1986,36k mi,7h ago,https://seattle.craigslist.org/see/mcy/d/kenmore-1986-gsx-750-with-bandit-1200/7640779675.html,craigslist
Museum Quality 1997 KTM Jackpiner For Sale,"$5,000",rathdrum,1997,1mi,7h ago,https://seattle.craigslist.org/see/mcy/d/rathdrum-museum-quality-1997-ktm/7640779431.html,craigslist
Yamaha Super Tenere ES,"$13,250",olympia,-1,15k mi,7h ago,https://seattle.craigslist.org/oly/mcy/d/olympia-yamaha-super-tenere-es/7640778640.html,craigslist
2003 Harley Dyna SuperGlide,"$9,000",olympia,2003,15k mi,7h ago,https://seattle.craigslist.org/oly/mcy/d/olympia-2003-harley-dyna-superglide/7640773151.html,craigslist
2017 Suzuki DL650 XT + Extras!,"$9,500",lakewood,2017,17k mi,7h ago,https://seattle.craigslist.org/tac/mcy/d/lakewood-2017-suzuki-dl650-xt-extras/7640771898.html,craigslist
2023 Triumph Tiger 1200 GT Explorer Sapphire Black,"$23,795",seattle,2023,3mi,7h ago,https://seattle.craigslist.org/see/mcd/d/seattle-2023-triumph-tiger-1200-gt/7640770837.html,craigslist
